City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
126,Prince Rupert,54.3161,-130.3201,57.29,84,0,10.36,CA,2022-10-04 00:55:02,clear sky
127,Sao Filipe,14.8961,-24.4956,79.2,79,100,9.31,CV,2022-10-04 00:56:44,light rain
128,Seguin,29.5688,-97.9647,80.91,34,100,2.19,US,2022-10-04 00:56:44,overcast clouds
129,Vuktyl,63.8567,57.3094,40.28,81,100,4.05,RU,2022-10-04 00:56:45,overcast clouds
130,Mayo,38.8876,-76.5119,50.11,91,100,7.0,US,2022-10-04 00:56:45,light rain
131,Pungesti,46.7,27.3333,47.28,69,99,4.43,RO,2022-10-04 00:56:45,overcast clouds
132,Okha,53.5739,142.9478,40.64,84,100,13.58,RU,2022-10-04 00:56:46,light rain
133,Am Timan,11.0297,20.2827,68.38,85,100,1.83,TD,2022-10-04 00:56:46,light rain
134,Maniitsoq,65.4167,-52.9,33.76,67,100,3.96,GL,2022-10-04 00:56:47,overcast clouds
135,Saint-Georges,12.0564,-61.7485,82.08,83,20,5.75,GD,2022-10-04 00:57:47,few clouds
136,La Ronge,55.1001,-105.2842,53.82,54,20,3.44,CA,2022-10-04 00:57:48,smoke
137,Burgeo,47.6167,-57.6152,44.01,73,3,7.25,CA,2022-10-04 00:57:48,clear sky
138,Alice Springs,-23.7,133.8833,72.95,73,40,3.44,AU,2022-10-04 00:53:13,scattered clouds
139,Almaznyy,48.0448,40.045,52.0,76,100,5.84,RU,2022-10-04 00:57:48,overcast clouds
140,Basco,20.4487,121.9702,83.41,78,18,13.0,PH,2022-10-04 00:57:49,few clouds
141,Katherine,-14.4667,132.2667,86.32,58,0,8.05,AU,2022-10-04 00:57:49,clear sky
142,Beyneu,45.3167,55.2,50.65,38,58,11.88,KZ,2022-10-04 00:57:50,broken clouds
143,San Buenaventura,27.0833,-101.5333,74.48,50,100,1.74,MX,2022-10-04 00:57:50,overcast clouds
144,Eureka,40.8021,-124.1637,61.2,82,3,1.99,US,2022-10-04 00:54:16,clear sky
145,Alta,69.9689,23.2717,38.46,93,100,1.14,NO,2022-10-04 00:57:50,overcast clouds
146,Port Blair,11.6667,92.75,82.44,83,40,2.3,IN,2022-10-04 00:54:15,mist
147,Koslan,63.4564,48.8989,42.15,95,100,8.97,RU,2022-10-04 00:57:51,overcast clouds
148,Acapulco,16.8634,-99.8901,79.86,79,27,7.36,MX,2022-10-04 00:57:00,scattered clouds
149,Saiha,22.4833,92.9667,72.19,98,74,2.13,IN,2022-10-04 00:57:52,broken clouds
150,Primorsko,42.2667,27.7667,54.07,61,5,10.29,BG,2022-10-04 00:57:52,clear sky
151,Atuona,-9.8,-139.0333,76.53,76,24,17.81,PF,2022-10-04 00:57:52,few clouds
152,Aklavik,68.2191,-135.0107,29.55,89,98,8.12,CA,2022-10-04 00:57:53,overcast clouds
153,Hamilton,39.1834,-84.5333,59.02,65,0,5.08,US,2022-10-04 00:57:53,clear sky
154,Chuy,-33.6971,-53.4616,54.27,66,87,7.58,UY,2022-10-04 00:57:53,overcast clouds
155,Ponta Do Sol,32.6667,-17.1,71.71,69,80,2.95,PT,2022-10-04 00:57:54,broken clouds
156,Saint-Augustin,51.226,-58.6502,43.68,59,9,12.24,CA,2022-10-04 00:57:54,clear sky
157,Ondjiva,-17.0667,15.7333,66.85,33,5,5.19,AO,2022-10-04 00:57:54,clear sky
158,Tromso,69.6496,18.957,42.39,93,100,0.0,NO,2022-10-04 00:57:55,fog
159,Pindamonhangaba,-22.9239,-45.4617,66.45,77,100,4.61,BR,2022-10-04 00:57:55,overcast clouds
160,Kovdor,67.5662,30.4758,35.17,94,100,2.33,RU,2022-10-04 00:57:55,overcast clouds
161,Gao,16.6362,1.637,90.1,12,0,7.25,ML,2022-10-04 00:57:56,clear sky
162,Port Macquarie,-31.4333,152.9167,71.89,57,6,6.2,AU,2022-10-04 00:53:00,clear sky
163,Palmer,42.1584,-72.3287,50.43,69,100,9.22,US,2022-10-04 00:53:13,overcast clouds
164,Mengyin,35.7069,117.9264,51.4,55,100,17.11,CN,2022-10-04 00:57:56,light rain
165,Tessalit,20.1986,1.0114,86.77,13,0,11.45,ML,2022-10-04 00:57:57,clear sky
166,Mhlume,-26.0333,31.85,69.28,91,27,7.45,SZ,2022-10-04 00:57:57,scattered clouds
167,Cedar City,37.6775,-113.0619,63.39,50,76,3.36,US,2022-10-04 00:55:05,broken clouds
168,Mananjary,-21.2167,48.3333,65.91,87,10,8.32,MG,2022-10-04 00:57:58,clear sky
169,Bad Segeberg,53.9333,10.3167,52.86,97,100,6.04,DE,2022-10-04 00:57:58,overcast clouds
170,Sisimiut,66.9395,-53.6735,31.68,85,100,6.11,GL,2022-10-04 00:57:59,overcast clouds
171,Guerrero Negro,27.9769,-114.0611,70.25,78,50,16.02,MX,2022-10-04 00:57:59,scattered clouds
172,Tuatapere,-46.1333,167.6833,48.34,84,100,10.47,NZ,2022-10-04 00:58:00,light rain
173,Rocky Mountain House,52.3668,-114.9188,71.71,43,17,3.44,CA,2022-10-04 00:58:00,few clouds
174,Wanning,18.8003,110.3967,82.22,81,100,2.48,CN,2022-10-04 00:58:00,overcast clouds
175,Azul,-36.777,-59.8585,53.28,57,100,14.29,AR,2022-10-04 00:58:01,overcast clouds
176,Changping,40.2186,116.2197,51.44,18,0,8.81,CN,2022-10-04 00:58:01,clear sky
177,Upernavik,72.7868,-56.1549,21.65,77,100,6.38,GL,2022-10-04 00:58:02,overcast clouds
178,Birao,10.2849,22.7882,70.45,97,100,5.95,CF,2022-10-04 00:58:02,moderate rain
179,Severo-Kurilsk,50.6789,156.125,53.46,72,98,15.28,RU,2022-10-04 00:53:58,overcast clouds
180,Gostyn,51.8825,17.0123,49.66,95,11,13.31,PL,2022-10-04 00:58:02,few clouds
181,Harper,4.375,-7.7169,75.85,90,100,5.93,LR,2022-10-04 00:58:03,overcast clouds
182,Saint-Pierre,-21.3393,55.4781,67.68,68,0,6.91,RE,2022-10-04 00:59:03,clear sky
183,Pevek,69.7008,170.3133,29.37,76,100,8.72,RU,2022-10-04 00:59:03,overcast clouds
184,Banyo,6.75,11.8167,63.82,95,100,2.91,CM,2022-10-04 00:59:04,light rain
185,San Patricio,28.017,-97.5169,78.89,44,100,4.94,US,2022-10-04 00:59:04,overcast clouds
186,Manavadar,21.5,70.1333,75.99,83,100,3.71,IN,2022-10-04 00:59:05,overcast clouds
187,Rio Grande,-32.035,-52.0986,53.71,63,99,12.12,BR,2022-10-04 00:59:05,overcast clouds
188,Cherskiy,68.75,161.3,28.74,73,100,7.81,RU,2022-10-04 00:59:05,overcast clouds
189,Areosa,41.7178,-8.8571,62.22,71,0,2.68,PT,2022-10-04 00:59:06,clear sky
190,Ancud,-41.8697,-73.8203,48.45,94,100,11.52,CL,2022-10-04 00:59:06,light rain
191,Kavieng,-2.5744,150.7967,85.75,64,100,9.01,PG,2022-10-04 00:59:07,overcast clouds
192,Klaksvik,62.2266,-6.589,52.72,98,100,24.99,FO,2022-10-04 00:58:12,overcast clouds
193,Balykshi,47.0667,51.8667,53.6,30,0,17.9,KZ,2022-10-04 00:59:07,clear sky
194,Yatou,37.15,122.3833,53.64,62,100,28.27,CN,2022-10-04 00:59:08,overcast clouds
195,Tokur,53.1333,132.9,26.89,49,100,6.49,RU,2022-10-04 00:59:08,overcast clouds
196,Mahonda,-6.45,39.4667,73.51,78,69,10.92,TZ,2022-10-04 00:59:09,broken clouds
197,Tual,-5.6667,132.75,81.9,80,62,6.26,ID,2022-10-04 00:59:09,broken clouds
198,Naberera,-4.2,36.9333,56.1,81,68,5.37,TZ,2022-10-04 00:59:10,broken clouds
199,Coruripe,-10.1256,-36.1756,72.21,78,1,8.12,BR,2022-10-04 00:59:10,clear sky
200,Gamba,-2.65,10.0,75.79,82,100,6.73,GA,2022-10-04 00:59:10,overcast clouds
201,Hargeysa,9.56,44.065,68.63,70,42,16.24,SO,2022-10-04 00:59:11,scattered clouds
202,Tiksi,71.6872,128.8694,20.34,89,84,11.68,RU,2022-10-04 00:59:11,broken clouds
203,Namatanai,-3.6667,152.4333,86.58,62,72,6.13,PG,2022-10-04 00:59:12,broken clouds
204,Nyurba,63.2842,118.3319,27.36,69,76,7.27,RU,2022-10-04 00:59:12,broken clouds
205,Nhulunbuy,-12.2333,136.7667,86.61,66,40,12.66,AU,2022-10-04 00:59:12,scattered clouds
206,Talnakh,69.4865,88.3972,34.21,95,100,24.34,RU,2022-10-04 00:59:13,snow
207,Shubarkuduk,49.1447,56.4872,40.69,29,0,8.95,KZ,2022-10-04 00:59:13,clear sky
208,San Joaquin,37.9333,-121.3011,86.11,43,0,8.39,US,2022-10-04 00:59:13,clear sky
209,Cuamba,-14.8031,36.5372,71.92,41,0,6.24,MZ,2022-10-04 00:59:14,clear sky
210,Qaanaaq,77.484,-69.3632,17.31,72,100,6.35,GL,2022-10-04 00:59:14,overcast clouds
211,Sabang,5.8933,95.3214,80.91,77,86,18.12,ID,2022-10-04 00:59:14,overcast clouds
212,Denham Springs,30.4869,-90.9562,73.94,68,90,5.14,US,2022-10-04 00:59:15,overcast clouds
213,Yenagoa,4.9247,6.2642,73.85,95,100,3.4,NG,2022-10-04 00:59:15,overcast clouds
214,Oranjestad,12.524,-70.027,84.15,79,20,13.8,AW,2022-10-04 00:59:16,few clouds
215,Pipri,19.8,75.5333,73.98,88,40,3.44,IN,2022-10-04 00:59:16,scattered clouds
216,Kloulklubed,7.0419,134.2556,84.7,82,100,2.19,PW,2022-10-04 00:59:17,overcast clouds
217,Butaritari,3.0707,172.7902,81.77,74,97,10.96,KI,2022-10-04 00:59:17,overcast clouds
218,Russell,32.3502,-85.1999,68.0,63,37,4.97,US,2022-10-04 00:59:17,scattered clouds
219,Gat,31.61,34.7642,74.39,100,1,1.25,IL,2022-10-04 00:59:18,clear sky
